  No.   Prog.    Tq[Nm]   Ang.[°]    D[mm]    PT[Nm]  Time[s]   OK/NOK     Cycle #
  925       6     13.09        36    43.37      3.39     2.87       OK     1947045
  926       5     11.73        37   154.78      3.06     3.88       OK     1947044
  927       4     11.78        54   155.04      2.68     3.62       OK     1947043
  928       3     11.96        38   157.28      3.41     3.55       OK     1947042
  929       2     11.65        40   154.94      2.96     3.63       OK     1947041
  930       1     12.08        44   157.29      3.02     3.51       OK     1947040
  931      10     12.08        44    41.60      3.44     3.14       OK     1947039
  932       8     12.27        39    44.36      3.81     3.03       OK     1947038
  933       7     12.87        36    45.52      3.99     2.92       OK     1947037
  934       6      0.00        66    45.34      0.09     0.83      L+2     1947036
  935       6      0.33     21055    21.58      0.33     6.02      T+1     1947035
  936       5     11.46        39   155.11      3.17     3.88       OK     1947034
  937       4     11.45        53   155.28      2.82     3.73       OK     1947033
  938       3     11.83        36   157.28      2.88     3.61       OK     1947032
  939       2     11.72        42   154.99      3.15     3.65       OK     1947031
  940       1     11.55        54   157.29      3.65     3.49       OK     1947030
  941       1      0.04     10526   157.21      0.04     6.08      T+2     1947029
  942      11     11.28        42    34.81      4.01     4.26       OK     1947028
  943      11      0.13       110    38.05      0.09     1.30      L+2     1947027
  944      10     12.40        39    41.49      3.35     2.94       OK     1947026
  945       8     12.47        39    44.17      3.45     2.93       OK     1947025
  946       7     13.03        33    45.57      3.75     2.88       OK     1947024
  947       6     12.64        34    43.49      3.84     2.86       OK     1947023
  948       5     11.48        39   154.98      3.24     3.83       OK     1947022
  949       4     11.63        48   155.33      2.85     3.68       OK     1947021
  950       3     11.68        38   157.28      3.29     3.55       OK     1947020
  951       2     11.77        31   155.04      2.95     3.62       OK     1947019
  952       1     11.68        59   157.26      3.31     3.53       OK     1947018
  953      10     12.22        44    41.63      3.89     2.95       OK     1947017
  954       8     12.77        33    44.13      3.78     2.94       OK     1947016
  955       7     13.06        33    45.60      3.44     2.87       OK     1947015
  956       6     12.18        44    43.41      3.84     2.89       OK     1947014
  957       5     11.41        41   154.98      2.97     3.86       OK     1947013
  958       4     11.48        71   155.25      2.89     3.70       OK     1947012
  959       3     11.72        42   157.27      3.07     3.57       OK     1947011
  960       2     11.44        48   155.14      2.97     3.64       OK     1947010
  961       1     11.71        50   157.29      2.88     3.51       OK     1947009
  962      11     11.81        43    33.02      3.94     4.26       OK     1947008
  963      10     12.08        41    41.66      3.42     3.02       OK     1947007
  964       8     12.62        45    44.43      3.82     3.08       OK     1947006
  965       7     12.79        34    45.55      3.93     2.89       OK     1947005
  966       6     12.60        47    43.81      3.52     2.89       OK     1947004
  967       5     11.94        34   155.09      3.46     3.89       OK     1947003
  968       4     11.98        44   155.43      3.01     3.76       OK     1947002
  969       3     13.50        34   157.28      3.00     3.63       OK     1947001
  970       2     11.50        54   155.00      3.07     3.70       OK     1947000
  971      11     11.69        37    35.27      3.55     4.28       OK     1946999
  972       1     11.24        56   157.28      3.69     3.51       OK     1946998
  973      10     12.15        39    41.64      3.48     2.96       OK     1946997
  974       8     12.43        33    44.42      3.20     2.95       OK     1946996
  975       7     12.69        39    45.76      3.17     2.90       OK     1946995
  976       6     12.34        36    43.46      3.65     2.94       OK     1946994
  977       5     11.60        35   154.85      2.96     3.81       OK     1946993
  978       4     11.53        53   155.09      3.02     3.66       OK     1946992
  979       3     11.81        36   157.27      2.79     3.52       OK     1946991
  980       2     11.50        46   155.00      3.01     3.62       OK     1946990
  981       1     11.41        44   157.29      3.10     3.51       OK     1946989
  982      10     11.98        46    41.65      3.35     3.47       OK     1946988
  983       7     14.75        32    45.53      3.03     3.01     Tq+2     1946987
  984       6      0.02        85    45.15      0.01     0.85      L+2     1946986
  985       6      0.39     21054    21.77      0.39     6.02      T+1     1946985
  986       5     11.54        42   155.05      3.04     3.87       OK     1946984
  987       4     11.68        52   155.33      3.03     3.76       OK     1946983
  988       3     11.71        38   157.26      3.31     3.66       OK     1946982
  989       2     11.72        40   154.93      2.89     3.63       OK     1946981
  990       1     11.52        48   157.29      3.09     3.50       OK     1946980
  991      11     11.75        52    35.50      3.86     4.29       OK     1946979
  992      10     12.24        44    41.06      3.78     2.93       OK     1946978
  993       8     12.54        36    44.28      3.58     3.00       OK     1946977
  994       7     12.96        39    45.62      3.44     2.88       OK     1946976
  995       6     12.46        39    43.45      3.25     2.85       OK     1946975
  996       5     11.39        39   155.03      3.14     3.90       OK     1946974
  997       4     11.59        51   155.23      2.49     3.69       OK     1946973
  998       3     11.95        34   157.24      2.76     3.58       OK     1946972
  999       2     11.53        48   155.07      2.75     3.66       OK     1946971
 1000       1     11.58        48   157.27      2.81     3.52       OK     1946970
